4254 0 99 COM 12.3137 14.4175 10.4 0.0883333 0.0766667 39 1
4192 0 98 COM 12.2299 14.8994 10.9 0.163333 0.0466667 -65 1
3587 0 97 UMA 11.2466 55.0194 12 0.0471667 0.0471667 0 0
3368 0 96 LEO 10.7794 11.82 10.1 0.13 0.0866667 -86 1
3351 0 95 LEO 10.7327 11.7033 10.6 0.123333 0.0833333 77 1
4736 0 94 CVN 12.8481 41.1214 8.9 0.24 0.201667 -27 1
2447 0 93 PUP 7.74144 -23.8531 6.2 0.166667 0.166667 0 4
6341 0 92 HER 17.2854 43.1369 14 0.233333 0.233333 0 5
4548 0 91 COM 12.5907 14.4964 10.9 0.0866667 0.07 -60 1
4569 0 90 VIR 12.6139 13.1639 10.2 0.158333 0.0733333 67 1
6333 0 9 OPH 17.3199 -18.5158 12 0.2 0.2 0 5
4552 0 89 VIR 12.5944 12.5561 10.9 0.0583333 0.0583333 720 1
4501 0 88 COM 12.5331 14.4197 10.2 0.113333 0.0616667 -50 1
4486 0 87 VIR 12.5137 12.3906 9.6 0.138333 0.11 -80 1
4406 0 86 VIR 12.4365 12.9464 9.9 0.148333 0.0966667 -40 1
4382 0 85 COM 12.4233 18.1908 10 0.118333 0.0916667 85 1
4374 0 84 VIR 12.4177 12.8869 10.2 0.108333 0.0933333 -45 1
5236 0 83 HYA 13.6167 -29.8672 8.2 0.215 0.191667 46 1
3034 0 82 UMA 9.93167 69.6831 9.2 0.186667 0.0716667 25 1
3031 0 81 UMA 9.92597 69.0672 7.8 0.415 0.191667 -67 1
6093 0 80 SCO 16.284 -22.9744 10 0.166667 0.166667 0 5
6523 0 8 SGR 18.0633 -24.3833 5 0.75 0.5 720 2
1904 0 79 LEP 5.40294 -24.5236 7.7 0.16 0.16 0 5
2068 0 78 ORI 5.77939 -0.0694444 8 0.133333 0.1 720 3
1068 0 77 CET 2.71133 -0.0127778 9.7 0.118333 0.1 20 1
650 0 76 PER 1.70503 51.5714 12.2 0.052 0.052 0 0
651 0 76 PER 1.70611 51.5806 12.2 0.018 0.018 0 0
6864 0 75 SGR 20.1013 -21.9208 8.6 0.113333 0.113333 0 5
628 0 74 PSC 1.61158 15.7833 9.8 0.175 0.158333 65 1
6994 0 73 AQR 20.9822 -12.6353 8.9 0.0233333 0.0233333 0 4
6981 0 72 AQR 20.8911 -12.5364 9.2 0.11 0.11 0 5
6838 0 71 SGE 19.8961 18.7789 8.4 0.12 0.12 0 5
6681 0 70 SGR 18.7202 -32.2914 7.8 0.133333 0.133333 0 5
6475 0 7 SCO 17.8961 -34.7833 3.3 1.25 1.25 0 4
6634 0 69 SGR 18.5231 -32.3475 7.6 0.118333 0.118333 0 5
6637 0 69 SGR 18.5231 -32.3475 7.6 0.118333 0.118333 0 5
4590 0 68 HYA 12.6578 -26.7422 11 0.183333 0.183333 0 5
2682 0 67 CNC 8.85667 11.8167 6.9 0.416667 0.416667 0 4
3627 0 66 LEO 11.3375 12.99 9.7 0.151667 0.0683333 -83 1
3623 0 65 LEO 11.3154 13.0908 10.1 0.163333 0.0483333 -84 1
4826 0 64 COM 12.9455 21.6831 9.3 0.166667 0.09 -25 1
5055 0 63 CVN 13.2636 42.0331 9.3 0.21 0.12 -15 1
6266 0 62 OPH 17.0202 -30.1117 15 0.25 0.25 0 5
